,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
104,30193,143941074.0,43620373.0,CZE,0.3030432647737504,0.47850447944703334,0.44261893504153443,"Kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyng","Fish: live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
105,30194,159082614.0,35009576.0,FRA,0.220071666662455,0.19595351360969887,0.6232857411862001,"Tuňáci, živí","Fish: live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
106,30195,264396.0,176302.0,GRC,0.6668103904748938,0.2199571321504146,0.4196296945069883,Tuňák australský živý,"Fish: live, southern bluefin tunas (Thunnus maccoyii)"
107,30199,1173867176.0,253406142.0,SWE,0.21587292598425975,0.1395555396900958,0.2120354712709966,"Ryby živé, ostatní","Fish: live, n.e.c. in heading 0301"
108,30211,903451803.0,237843155.0,SWE,0.26326047965172966,0.18385334289836255,0.14457664832921685,"Pstruzi čerství,chlazení,ne játra,jikry,mlíčí","Fish: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9"
109,30213,253864776.0,64127757.0,SWE,0.2526059660990542,0.15510737763046045,0.16930782327416197,"Losos, čerstvý nebo chlazený,ne: obecný","Fish: fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9"
110,30214,15979521002.0,5323067566.0,SWE,0.33311809317274055,0.2969645583903461,0.5046230996715869,"Losos obecný, hlavatka podunajská, čerství nebo chlazení","Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
111,30219,185039714.0,71443805.0,DNK,0.3860998455715296,0.10756235783954153,0.15429634651025234,"Ryby losos.ost.čerst,chla,ne játra,jikry,mlíčí","Fish: fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
112,30221,243683075.0,28470954.0,DNK,0.11683599281566846,0.3780176134453881,0.31896080587172276,"Platýs černý,obec,tichomoř,čerstvý,chl,ne játra,jikry,mlíčí","Fish: fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
113,30222,63076208.0,40977284.0,NLD,0.6496472330739984,0.13187760042466007,0.2336218496820496,"Platýs velký,čerstvý,chlazený,ne játra,jikry,mlíčí","Fish: fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
