HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
903010,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Měření ionizujícího záření,LSE Navigator,IN,,N,0.0400
902750,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Ostatní,LSE Navigator,IN,,N,0.0400
841919,A05. Ukládání energie,A05c. Ostatní ukládání,"Ostatní ukládání (přečerpávací vodní, ohřátá voda,…)",LSE Navigator,IN,,N,0.0400
841911,A05. Ukládání energie,A05c. Ostatní ukládání,"Ostatní ukládání (přečerpávací vodní, ohřátá voda,…)",LSE Navigator,IN,,N,0.0400
902580,E01. Měřící a diagnostické přístroje; Monitoring,E01c. Měření okolního prostředí (HS9025),Hydrometry,LSE Navigator,IN,,N,0.0400
841012,A04. Výroba nízkoemisní elektřiny a paliv,A04c. Vodní,Komponenty pro vodní energetiku,LSE Navigator,IN,,N,0.0400
841013,A04. Výroba nízkoemisní elektřiny a paliv,A04c. Vodní,Komponenty pro vodní energetiku,LSE Navigator,IN,,N,0.0400
841011,A04. Výroba nízkoemisní elektřiny a paliv,A04c. Vodní,Komponenty pro vodní energetiku,LSE Navigator,IN,,N,0.0400
903281,E01. Měřící a diagnostické přístroje; Monitoring,"E01i. Ostatní (HS 903x, a další)",Ostatní,LSE Navigator,IN,,N,0.0400
841950,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,LSE Navigator,IN,,N,0.0400
700991,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
700992,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
701990,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
848340,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,LSE Navigator,IN,0.0840,Y,0.0840
902710,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Ostatní,LSE Navigator,IN,,N,0.0400
841182,A04. Výroba nízkoemisní elektřiny a paliv,A04g. Efektivní využití plynu a vodíku,Komponenty pro výrobu energie z plynů,LSE Navigator,IN,,N,0.0400
841181,A04. Výroba nízkoemisní elektřiny a paliv,A04g. Efektivní využití plynu a vodíku,Komponenty pro výrobu energie z plynů,LSE Navigator,IN,,N,0.0400
902810,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Měření odběru a výroby plynů, tekutin, elektřiny",LSE Navigator,IN,,N,0.0400
840130,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
842139,"A01. Výroba, nízkoemisní výrobní postupy",A01a. Nízkoemisní výroba,Nízkoemisní výroby ostatní,LSE Navigator,IN,,N,0.0400
902680,E01. Měřící a diagnostické přístroje; Monitoring,E01d. Měření vlastností plynů a tekutnin (HS9026),Měření vlastností plynů a tekutin,LSE Navigator,IN,,N,0.0400
902780,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Ostatní,LSE Navigator,IN,,N,0.0400
850590,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
902830,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Měření odběru a výroby plynů, tekutin, elektřiny",LSE Navigator,IN,,N,0.0400
903031,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Ostatní,LSE Navigator,IN,,N,0.0400
903081,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Ostatní,LSE Navigator,IN,,N,0.0400
903089,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Ostatní,LSE Navigator,IN,,N,0.0400
853720,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
853710,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
853010,A02. Doprava,A02a. Železniční (osobní i nákladní),Infrastruktura (nové tratě a elektrifikace stávajících),LSE Navigator,IN,0.0500,Y,0.0500
850230,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
841459,"A01. Výroba, nízkoemisní výrobní postupy",A01c. Elektrifikace výrobních postupů,Elektrifikace ve výrobě,LSE Navigator,IN,,N,0.0400
