,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
16,SVK,10513,0.0,2023,892,9,0,1.440183635429462,2.607805824010824,0.18733777370900645,1.3388350796716446,0.6471855163296043,0.0,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g",0.18733777370900645,39812123.0,34383517.0,FRA,0.8636443979639066,0.17581775765255078,0.2262632695306173,0.0,0.0,4833.0,86.21120228326792,3366.0,60.04281127363539,181.5,3.2376025686764183
17,SVK,10514,0.0,2023,892,7,0,1.440183635429462,3.036702350399036,0.20685970794745745,1.3388350796716446,0.5912576539154731,0.0,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g",0.2068597079474575,5259445.0,4797795.0,POL,0.912224578829135,0.4481897814174387,0.5341220041037036,0.0,0.0,5267.0,93.95290759900107,4337.0,77.36353906528718,181.5,3.2376025686764183
18,SVK,10515,0.0,2023,892,7,0,1.440183635429462,0.13363657436886395,0.16558379307985743,1.3388350796716446,0.24629975262248047,0.0,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g",0.16558379307985752,2608720.0,2152728.0,FRA,0.8252046980894845,0.6064122051464527,0.8690830347753019,0.0,0.0,1653.0,29.48626471637531,1938.0,34.57010346057795,181.5,3.2376025686764183
19,SVK,10594,39753594.00000001,2023,892,20,1,1.440183635429462,2.011517897016815,0.2548579415881084,1.3388350796716446,0.0,5.076666800716785,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",0.2548579415881085,1457468651.0,1222159931.0,DEU,0.8385497212317056,0.15782090092998777,0.20797631292708516,0.02727577980680698,0.03252732559107275,4016.0,71.6375312165537,5522.0,98.50160542276133,5237.0,93.41776667855869
20,SVK,10599,1440210.0,2023,892,18,0,1.440183635429462,0.9188837712707891,0.21715005448772767,1.3388350796716446,0.25757283194022046,0.8614374668593289,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0.21715005448772765,311174177.0,249371161.0,POL,0.8013877096234756,0.11551913720016223,0.14955225867486668,0.004628308215948137,0.005775367104297998,2492.0,44.45237245808063,4722.0,84.2311808776311,3563.0,63.556903317873704
21,SVK,10611,3440.0,2023,892,9,0,1.440183635429462,-0.9537722403282672,0.14515473346099989,1.3388350796716446,-0.016143322295832103,0.0018100701051651596,Primáti,"Mammals: live, primates",0.1451547334609999,353724003.0,39752047.0,FRA,0.11238153662984528,0.24835805727578822,0.49254887069623793,9.72509632036478e-06,8.653642414942808e-05,767.0,13.681769532643596,781.0,13.931501962183376,1038.0,18.515875847306457
22,SVK,10612,0.0,2023,892,9,0,1.440183635429462,-0.6747444316320987,0.15750773844559984,1.3388350796716446,-0.009681002414829967,0.0,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.1575077384455998,7433612.0,193044.0,DEU,0.02596907129400889,0.2620642648110042,0.6131274029684912,0.0,0.0,967.0,17.249375668926152,1446.0,25.793792365322872,181.5,3.2376025686764183
23,SVK,10613,0.0,2023,892,12,0,1.440183635429462,-3.1367532606603357,0.11801439272216957,1.3388350796716446,-0.23883773001260064,0.0,"Velbloudi a jiní velbloudovití, živí","Mammals: live, camels and other camelids (Camelidae)",0.11801439272216958,303117760.0,679437.0,CZE,0.002241495186557198,0.253976167216136,0.17615085693507151,0.0,0.0,60.0,1.0702818408847663,81.0,1.4448804851944346,181.5,3.2376025686764183
24,SVK,10614,1193520.0,2023,892,12,1,1.440183635429462,1.8581218013481509,0.23284541433583614,1.3388350796716446,0.0,5.751411666700162,"Králíci a zajíci, živí","Mammals: live, rabbits and hares",0.23284541433583614,38623954.0,30303206.0,NLD,0.7845702695275579,0.15933496409360048,0.2187778254810569,0.030901031002677767,0.03938593164036835,3804.0,67.85586871209418,5124.0,91.40206921155905,3447.0,61.48769175882982
25,SVK,10619,1749594.9999999998,2023,892,37,1,1.440183635429462,0.4307535458531518,0.2508255538428973,1.3388350796716446,0.0,1.091684743992522,Domácí králíci,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0.25082555384289723,298292114.0,139865530.0,FRA,0.46888778963831407,0.10988159313486977,0.1738933832556617,0.0058653746374267195,0.012509122154686718,1938.0,34.57010346057795,5476.0,97.68105601141635,3681.0,65.66179093828042
