loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
SVK,10391,15079823.999999998,2022,944,9,1,1.424543887686974,2.2357503542437747,0.27850334599225013,1.3418107482751265,0.0,1.9899664894271403,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.2785033459922501,1627480356.0,1389722353.0,DNK,0.8539103700247673,0.3190363438267782,0.4097317620993576,0.0092657487043733,0.010850961681264688,4379.0,78.11273635390653,5576.0,99.46485907955763,4914.0,87.65608276846237
SVK,10392,39629810.0,2022,944,20,1,1.424543887686974,2.0031474152518833,0.24549810846191397,1.3418107482751265,0.0,4.368238481053144,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.24549810846191394,1948412447.0,1078691550.0,NLD,0.5536258771395541,0.11037690746027215,0.09709950216446003,0.020339538510451734,0.03673877856927683,4035.0,71.97645379950053,5152.0,91.9015340706386,5216.0,93.04316803424902
SVK,10410,2112123.0,2022,944,28,0,1.424543887686974,-1.8412419746793613,0.2124714573328283,1.3418107482751265,-0.3796938315316566,0.24794222302149127,Ovce živé,Sheep: live,0.21247145733282827,1829506516.0,707489226.0,ROU,0.38671041606719264,0.09083591870724775,0.26956083228998645,0.001154476893921049,0.0029853783243336627,292.0,5.208704958972529,4065.0,72.51159471994292,3806.0,67.89154477345701
SVK,10420,46.0,2022,944,19,0,1.424543887686974,-2.9377749527680734,0.16361059852111437,1.3418107482751265,-0.4135071276192593,3.741530250210651e-05,Kozy živé,Goats: live,0.16361059852111437,264042487.99999997,6344031.0,FRA,0.0240265536355649,0.3095880074953033,0.1476205031247039,1.742143862846801e-07,7.250910343912254e-06,73.0,1.3021762397431322,1296.0,23.118087763110953,480.0,8.56225472707813
SVK,10511,4283341.0,2022,944,29,0,1.424543887686974,0.3821614733393413,0.21710371786247912,1.3418107482751265,0.03445543818247896,0.5806733619120488,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.21710371786247917,1584221826.0,836152173.0,NLD,0.52779993260868,0.08046133562385688,0.12125074300465404,0.002703750781426237,0.005122681179709139,1831.0,32.661434177666784,4274.0,76.23974313235819,4294.0,76.59650374598644
SVK,10512,1270719.0,2022,944,11,1,1.424543887686974,2.4359255342600097,0.24629080535925685,1.3418107482751265,0.0,1.6854303545950764,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.24629080535925682,161921291.0,86517439.0,FRA,0.5343178680560298,0.1447150346484494,0.2676456097397143,0.007847757340324071,0.01468743197541943,4672.0,83.33927934356046,5174.0,92.29397074562968,3472.0,61.93364252586514
SVK,10513,0.0,2022,944,10,0,1.424543887686974,2.4958467697750306,0.205782061763574,1.3418107482751265,0.6393392189332584,0.0,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g",0.20578206176357403,31017537.0,27069930.0,FRA,0.8727298366727184,0.1568233669327868,0.19704360262728904,0.0,0.0,4757.0,84.85551195148055,3769.0,67.23153763824475,161.0,2.8719229397074564
SVK,10514,0.0,2022,944,7,0,1.424543887686974,3.0133900739772868,0.21634499942971003,1.3418107482751265,0.5740145584767808,0.0,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g",0.21634499942970997,3224725.0,3026904.0,POL,0.9386549240632922,0.4603993501539219,0.5207196495781844,0.0,0.0,5269.0,93.9885836603639,4225.0,75.36567962896896,161.0,2.8719229397074564
SVK,10515,0.0,2022,944,5,0,1.424543887686974,1.9037457653614553,0.14263775229867118,1.3418107482751265,0.29171444223448567,0.0,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g",0.1426377522986712,2721357.0,1700912.0,FRA,0.6250234717458973,0.40628643569339923,0.9240079271962975,0.0,0.0,3878.0,69.17588298251873,392.0,6.992508027113807,161.0,2.8719229397074564
SVK,10594,41188020.0,2022,944,21,1,1.424543887686974,1.6569919183435515,0.2596951852067768,1.3418107482751265,0.0,6.109156190067789,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",0.25969518520677687,1447954556.0,1228988364.0,DEU,0.8487755081175351,0.15942630827652365,0.21009727850821622,0.028445657931270046,0.03351375912620113,3513.0,62.66500178380306,5424.0,96.75347841598287,5236.0,93.39992864787727
